Month,Day,Year,Hour,Minute,Outdoor Temperature (°F),Hourly Rain (in/hr),Solar Radiation (W/m^2)
3,1,2023,23,35,62.6,0,0
3,1,2023,23,30,62.6,0,0
3,1,2023,23,25,62.8,0,0
3,1,2023,23,20,62.8,0,0
3,1,2023,23,15,62.8,0,0
3,1,2023,23,10,62.8,0,0
3,1,2023,23,5,63,0,0
3,1,2023,23,0,62.8,0,0
3,1,2023,22,55,62.6,0,0
3,1,2023,22,50,62.8,0,0
3,1,2023,22,45,62.8,0,0
3,1,2023,22,40,62.4,0,0
3,1,2023,22,35,62.4,0,0
3,1,2023,22,30,63,0,0
3,1,2023,22,25,63.3,0,0
3,1,2023,22,20,63.7,0,0
3,1,2023,22,15,63.9,0,0
3,1,2023,22,10,64.4,0,0
3,1,2023,22,5,64.4,0,0
3,1,2023,22,0,64.4,0,0
3,1,2023,21,55,64.4,0,0
3,1,2023,21,50,64.4,0,0
3,1,2023,21,45,64.4,0,0
3,1,2023,21,40,64.6,0,0
3,1,2023,21,35,64.6,0,0
3,1,2023,21,30,64.6,0,0
3,1,2023,21,25,64.4,0,0
3,1,2023,21,20,64.4,0,0
3,1,2023,21,15,64.6,0,0
3,1,2023,21,10,64.8,0,0
3,1,2023,21,5,64.9,0,0
3,1,2023,21,0,64.8,0,0
3,1,2023,20,55,64.6,0,0
3,1,2023,20,50,64.2,0,0
3,1,2023,20,45,64.2,0,0
3,1,2023,20,40,65.5,0,0
3,1,2023,20,35,65.8,0,0
3,1,2023,20,30,65.8,0,0
3,1,2023,20,25,66,0,0
3,1,2023,20,20,66.7,0,0
3,1,2023,20,15,66.7,0,0
3,1,2023,20,10,66.7,0,0
3,1,2023,20,5,66.9,0,0
3,1,2023,20,0,67.3,0,0
3,1,2023,19,55,67.3,0,0
3,1,2023,19,50,67.3,0,0
3,1,2023,19,45,67.5,0,0
3,1,2023,19,40,68.4,0,0
3,1,2023,19,35,68.9,0,0
3,1,2023,19,30,68.5,0,0
3,1,2023,19,25,68.4,0,0
3,1,2023,19,20,68.5,0,0
3,1,2023,19,15,70,0,0
3,1,2023,19,10,70.2,0,0
3,1,2023,19,5,70,0,0
3,1,2023,19,0,69.8,0,0
3,1,2023,18,55,70,0,0
3,1,2023,18,50,70,0,0.1
3,1,2023,18,45,70.5,0,0.4
3,1,2023,18,40,71.1,0,1.4
3,1,2023,18,35,71.6,0,3.3
3,1,2023,18,30,71.8,0,6.3
3,1,2023,18,25,72.1,0,10.2
3,1,2023,18,20,72.5,0,15
3,1,2023,18,15,72.9,0,19.3
